dataset,output_data,output_metrics,mindcf_fp_rate,mindcf_precision,mindcf_rank1_precision,mindcf_rank1_known_precision,mindcf_rank5_precision,mindcf_recall,mindcf_mcc,mindcf_fscore,mindcf_accuracy,mindcf_confusion,mindcf_threshold,mindcf_average
./Speech_risk/speaker_info/train2/7205/v_tr7205_te163_o5_5.csv,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_5_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_5_r500_s100metrics.json,1.70E-06,0.666666667,0.666666667,0.8,0.666666667,0.8,0.7302955,0.727272727,0.999997446,"[[      4       1]
 [      2 1174408]]",51.91518531,4.18E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_te163_o5_1.csv,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_1_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_1_r500_s100metrics.json,8.51E-07,0.833333333,0.833333333,0.8,0.833333333,1,0.912870541,0.909090909,0.999999149,"[[      5       0]
 [      1 1174409]]",50.7441669,3.80E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_te163_o5_2.csv,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_2_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_2_r500_s100metrics.json,8.51E-07,0.833333333,0.833333333,1,0.833333333,1,0.912870541,0.909090909,0.999999149,"[[      5       0]
 [      1 1174409]]",51.55308888,4.19E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_te163_o5_9.csv,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_9_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_9_r500_s100metrics.json,8.51E-07,0.833333333,0.833333333,0.8,0.833333333,1,0.912870541,0.909090909,0.999999149,"[[      5       0]
 [      1 1174409]]",51.43283122,4.25E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_te163_o5.csv,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_r500_s100metrics.json,8.51E-07,0.833333333,0.833333333,0.8,0.833333333,1,0.912870541,0.909090909,0.999999149,"[[      5       0]
 [      1 1174409]]",51.53164788,3.73E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_te163_o5_6.csv,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_6_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_6_r500_s100metrics.json,0,1,1,1,1,1,1,1,1,"[[      5       0]
 [      0 1174410]]",51.50319278,3.92E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_te163_o5_8.csv,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_8_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_8_r500_s100metrics.json,4.26E-06,0.5,0.5,1,0.5,1,0.707105276,0.666666667,0.999995743,"[[      5       0]
 [      5 1174405]]",50.84292973,4.20E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_te163_o5_7.csv,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_7_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_7_r500_s100metrics.json,8.51E-07,0.833333333,0.833333333,0.8,0.833333333,1,0.912870541,0.909090909,0.999999149,"[[      5       0]
 [      1 1174409]]",50.52350903,4.01E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_te163_o5_4.csv,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_4_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_4_r500_s100metrics.json,1.70E-06,0.714285714,0.833333333,1,0.833333333,1,0.845153535,0.833333333,0.999998297,"[[      5       0]
 [      2 1174408]]",51.28626799,4.00E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_te163_o5_3.csv,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_3_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_te163_o5_3_r500_s100metrics.json,0,1,1,1,1,1,1,1,1,"[[      5       0]
 [      0 1174410]]",49.52951496,3.98E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_6.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_6_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_6_r500_s100metrics.json,0,1,1,1,1,0.6,0.77459601,0.75,0.999998297,"[[      3       2]
 [      0 1174410]]",51.98907955,4.34E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_r500_s100metrics.json,0,1,1,1,1,0.6,0.77459601,0.75,0.999998297,"[[      3       2]
 [      0 1174410]]",50.88665336,3.69E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_9.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_9_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_9_r500_s100metrics.json,0,1,1,1,1,0.2,0.447212834,0.333333333,0.999996594,"[[      1       4]
 [      0 1174410]]",51.02736083,4.42E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_5.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_5_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_5_r500_s100metrics.json,8.51E-07,0.75,0.75,0.75,0.75,0.6,0.670819156,0.666666667,0.999997446,"[[      3       2]
 [      1 1174409]]",51.41160689,3.80E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_4.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_4_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_4_r500_s100metrics.json,0,1,1,1,1,0.2,0.447212834,0.333333333,0.999996594,"[[      1       4]
 [      0 1174410]]",51.09578993,3.85E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_2.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_2_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_2_r500_s100metrics.json,0,1,1,1,1,0.2,0.447212834,0.333333333,0.999996594,"[[      1       4]
 [      0 1174410]]",51.42632876,4.06E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_8.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_8_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_8_r500_s100metrics.json,8.51E-07,0,0,0,0,0,-1.90E-06,nan,0.999994891,"[[      0       5]
 [      1 1174409]]",52.2573295,4.05E-05
./Speech_risk/speaker_info/train2/7205/v_tr7205_all_te163_1_o5_s_1.csv,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_1_r500_s100data.json,./Speech_risk/outputs/train2/7205/v_tr7205_all_te163_1_o5_s_1_r500_s100metrics.json,0,1,1,1,1,0.4,0.632454724,0.571428571,0.999997446,"[[      2       3]
 [      0 1174410]]",52.24697004,3.99E-05
