experiment,data_type,test_data,num_train,train_breakdown,train_type,num_test,test_breakdown,test_type,num_overlap,overlap_type,th_runs,subset,plda_rank,c_fa,c_miss,p_target,O1,O2,train-test_split,output_data,output_metrics,mindcf_fp_rate,mindcf_precision,mindcf_recall,mindcf_mcc,mindcf_fscore,mindcf_accuracy,mindcf_confusion,mindcf_threshold,mindcf_average,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/outputs/task-across/s/ms_tr500_all_te55_1_o5_s.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_r100_s100metrics.json,7.27E-05,0.714285714,1,0.845123516,0.833333333,0.999927273,"[[    5     0]
 [    2 27493]]",17.04815557,0.00156872,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_1.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_1_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_1_r100_s100metrics.json,0.000109111,0.571428571,0.8,0.676055777,0.666666667,0.999854545,"[[    4     1]
 [    3 27492]]",17.16467066,0.00128561,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_2.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_2_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_2_r100_s100metrics.json,7.27E-05,0.714285714,1,0.845123516,0.833333333,0.999927273,"[[    5     0]
 [    2 27493]]",16.62537328,0.001519892,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_5.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_5_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_5_r100_s100metrics.json,3.64E-05,0.833333333,1,0.912854328,0.909090909,0.999963636,"[[    5     0]
 [    1 27494]]",16.92970873,0.001452908,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_3.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_3_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_3_r100_s100metrics.json,0.000145481,0.555555556,1,0.745301773,0.714285714,0.999854545,"[[    5     0]
 [    4 27491]]",15.94671455,0.001347099,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_6.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_6_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_6_r100_s100metrics.json,0.000145481,0.5,0.8,0.63237502,0.615384615,0.999818182,"[[    4     1]
 [    4 27491]]",17.00511008,0.001335773,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_7.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_7_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_7_r100_s100metrics.json,0.000109111,0.625,1,0.790526284,0.769230769,0.999890909,"[[    5     0]
 [    3 27492]]",16.31041938,0.001374889,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_8.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_8_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_8_r100_s100metrics.json,7.27E-05,0.714285714,1,0.845123516,0.833333333,0.999927273,"[[    5     0]
 [    2 27493]]",16.61342337,0.001411915,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_4.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_4_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_4_r100_s100metrics.json,7.27E-05,0.714285714,1,0.845123516,0.833333333,0.999927273,"[[    5     0]
 [    2 27493]]",16.99439065,0.001355199,,,,,,,
across-default,mayo-speech,mayo-speech,500,500 (mayo-speech),"s-*,-s-physician",55,55 (mayo-speech),s-physician,5,s-physician,100,100,100,1,1,0.01,,,./Speech_risk/speaker_info/task-across/s/ms_tr500_all_te55_1_o5_s_9.csv,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_9_r100_s100data.json,./Speech_risk/outputs/task-across/s/both_ms_tr500_all_te55_1_o5_s_9_r100_s100metrics.json,3.64E-05,0.8,0.8,0.79996363,0.8,0.999927273,"[[    4     1]
 [    1 27494]]",17.03971181,0.00118708,,,,,,,
