experiment,data-type,test-data,num_train,train_breakdown,train_type,num_test,test_breakdown,test_type,num_overlap,overlap-type,th_runs,subset,plda_rank,c_fa,c_miss,p_target,O1,O2,train-test_split,output_data,output_metrics,mindcf_fp_rate,mindcf_precision,mindcf_recall,mindcf_mcc,mindcf_fscore,mindcf_accuracy,mindcf_confusion,mindcf_threshold,mindcf_average
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s_4.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_4_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_4_r500_s100metrics.json,0,1,0.4,0.632449712,0.571428571,0.999981595,"[[     2      3]
 [     0 162995]]",56.4061481,3.97E-05
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s_5.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_5_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_5_r500_s100metrics.json,0,1,0.2,0.447208108,0.333333333,0.99997546,"[[     1      4]
 [     0 162995]]",56.8103742,3.87E-05
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s_3.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_3_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_3_r500_s100metrics.json,0,1,0.4,0.632449712,0.571428571,0.999981595,"[[     2      3]
 [     0 162995]]",56.90363519,4.19E-05
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s_8.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_8_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_8_r500_s100metrics.json,0,1,0.8,0.894424447,0.888888889,0.999993865,"[[     4      1]
 [     0 162995]]",55.34724999,3.83E-05
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s_1.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_1_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_1_r500_s100metrics.json,0,1,0.4,0.632449712,0.571428571,0.999981595,"[[     2      3]
 [     0 162995]]",54.99152566,3.96E-05
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_r500_s100metrics.json,0,nan,0,nan,nan,0.999969325,"[[     0      5]
 [     0 162995]]",58.56599688,4.16E-05
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s_9.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_9_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_9_r500_s100metrics.json,0,1,0.4,0.632449712,0.571428571,0.999981595,"[[     2      3]
 [     0 162995]]",58.19600147,4.46E-05
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s_2.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_2_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_2_r500_s100metrics.json,0,1,0.4,0.632449712,0.571428571,0.999981595,"[[     2      3]
 [     0 162995]]",56.2777008,3.98E-05
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s_6.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_6_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_6_r500_s100metrics.json,0,nan,0,nan,nan,0.999969325,"[[     0      5]
 [     0 162995]]",53.71781501,3.88E-05
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s_7.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_7_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_7_r500_s100metrics.json,0,1,0.2,0.447208108,0.333333333,0.99997546,"[[     1      4]
 [     0 162995]]",53.52946839,4.02E-05
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s_12.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_12_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_12_r500_s100metrics.json,0,1,0.8,0.894424447,0.888888889,0.999993865,"[[     4      1]
 [     0 162995]]",55.16701085,4.11E-05
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s_14.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_14_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_14_r500_s100metrics.json,0,1,0.4,0.632449712,0.571428571,0.999981595,"[[     2      3]
 [     0 162995]]",55.14246189,3.86E-05
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s_10.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_10_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_10_r500_s100metrics.json,0,1,0.2,0.447208108,0.333333333,0.99997546,"[[     1      4]
 [     0 162995]]",56.01803829,4.38E-05
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s_19.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_19_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_19_r500_s100metrics.json,0,1,0.4,0.632449712,0.571428571,0.999981595,"[[     2      3]
 [     0 162995]]",55.81049309,3.71E-05
train-2-1,vox,vox,1000,1000 (vox),all,163,163 (vox),1,5,1,500,100,100,10,0.1,0.001,0.005,0.03164557,./Speech_risk/speaker_info/train2/1000/v_tr1000_all_te163_1_o5_s_17.csv,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_17_r500_s100data.json,./Speech_risk/outputs/train2/1000/v_tr1000_all_te163_1_o5_s_17_r500_s100metrics.json,0,1,0.6,0.774591917,0.75,0.99998773,"[[     3      2]
 [     0 162995]]",54.17538093,3.86E-05
